# ts	v	v_base	v_vis	v_occ	v_lkg	cap_visible	cap_occl	final
1206.557	30.873	4.381	4.399	70.000	4.399	4.381	70.000	4.381
1206.610	30.881	4.395	4.381	70.000	4.381	4.395	70.000	4.395
1206.660	30.892	4.399	4.395	70.000	4.395	4.399	70.000	4.399
1206.710	30.904	4.412	4.399	70.000	4.399	4.412	70.000	4.412
1206.760	30.919	4.447	4.412	70.000	4.412	4.447	70.000	4.447
1206.810	30.947	4.466	4.447	70.000	4.447	4.466	70.000	4.466
1206.855	30.969	4.460	4.466	70.000	4.466	4.460	70.000	4.460
1206.910	30.983	4.463	4.460	70.000	4.460	4.463	70.000	4.463
1206.960	30.997	4.464	4.463	70.000	4.463	4.464	70.000	4.464
1207.009	30.996	4.440	4.464	70.000	4.464	4.440	70.000	4.440
1207.060	30.993	4.449	4.440	70.000	4.440	4.449	70.000	4.449
1207.110	30.984	4.504	4.449	70.000	4.449	4.504	70.000	4.504
1207.158	30.991	4.636	4.504	70.000	4.504	4.636	70.000	4.636
1207.210	30.994	4.737	4.636	70.000	4.636	4.737	70.000	4.737
1207.260	30.996	4.713	4.737	70.000	4.737	4.713	70.000	4.713
1207.310	31.002	4.694	4.713	70.000	4.713	4.694	70.000	4.694
1207.355	31.005	4.718	4.694	70.000	4.694	4.718	70.000	4.718
1207.407	31.006	4.747	4.718	70.000	4.718	4.747	70.000	4.747
1207.456	31.018	4.776	4.747	70.000	4.747	4.776	70.000	4.776
1207.510	31.019	4.776	4.776	70.000	4.776	4.776	70.000	4.776
1207.560	31.008	4.751	4.776	70.000	4.776	4.751	70.000	4.751
1207.610	31.000	4.709	4.751	70.000	4.751	4.709	70.000	4.709
1207.660	30.983	4.673	4.709	70.000	4.709	4.673	70.000	4.673
1207.710	30.961	4.643	4.673	70.000	4.673	4.643	70.000	4.643
1207.760	30.945	4.630	4.643	70.000	4.643	4.630	70.000	4.630
1207.809	30.912	4.585	4.630	70.000	4.630	4.585	70.000	4.585
1207.860	30.876	4.540	4.585	70.000	4.585	4.540	70.000	4.540
1207.905	30.856	4.496	4.540	70.000	4.540	4.496	70.000	4.496
1207.959	30.816	4.491	4.496	70.000	4.496	4.491	70.000	4.491
