# flagged-only | window: 2025-09-05_004324UTC -> 2025-09-05_014324UTC | files=16
2025-09-05_004459UTC | 00000085--f247b281ca--68 | [rlog] v=27.5 base=5.8 raw=6.4 final=6.4 | cap=visible vis=5.8 occ=70.0 | v_vis=5.7 v_occ=70.0 conf=0.7 psi=2.4/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004500UTC | 00000085--f247b281ca--68 | [rlog] v=27.7 base=6.8 raw=7.4 final=7.4 | cap=visible vis=6.8 occ=70.0 | v_vis=6.7 v_occ=70.0 conf=0.7 psi=1.7/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004519UTC | 00000085--f247b281ca--68 | [rlog] v=30.6 base=4.6 raw=5.1 final=5.1 | cap=occlusion vis=4.6 occ=4.6 | v_vis=4.6 v_occ=4.6 conf=0.6 psi=4.0/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004521UTC | 00000085--f247b281ca--68 | [rlog] v=30.6 base=4.6 raw=4.6 final=4.6 | cap=occlusion vis=4.6 occ=4.5 | v_vis=4.6 v_occ=4.5 conf=0.6 psi=4.0/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004526UTC | 00000085--f247b281ca--68 | [rlog] v=30.6 base=4.9 raw=4.9 final=4.9 | cap=occlusion vis=4.9 occ=4.5 | v_vis=4.6 v_occ=4.5 conf=0.7 psi=4.0/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004527UTC | 00000085--f247b281ca--68 | [rlog] v=30.6 base=4.9 raw=4.9 final=4.9 | cap=occlusion vis=4.9 occ=4.5 | v_vis=4.6 v_occ=4.5 conf=0.7 psi=4.0/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004542UTC | 00000085--f247b281ca--68 | [rlog] v=28.6 base=4.9 raw=4.9 final=4.9 | cap=occlusion vis=4.9 occ=4.6 | v_vis=4.6 v_occ=4.6 conf=0.6 psi=3.7/0.4 reason=pretrigger tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004542UTC | 00000085--f247b281ca--68 | [rlog] v=28.7 base=4.9 raw=4.9 final=4.9 | cap=occlusion vis=4.9 occ=4.6 | v_vis=4.6 v_occ=4.6 conf=0.6 psi=3.7/0.4 reason=pretrigger tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004543UTC | 00000085--f247b281ca--68 | [rlog] v=28.8 base=4.9 raw=4.9 final=4.9 | cap=occlusion vis=4.9 occ=4.6 | v_vis=4.6 v_occ=4.6 conf=0.5 psi=3.7/0.4 reason=pretrigger tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004549UTC | 00000085--f247b281ca--68 | [rlog] v=29.4 base=5.0 raw=5.0 final=5.0 | cap=occlusion vis=5.0 occ=4.5 | v_vis=4.6 v_occ=4.5 conf=0.7 psi=3.8/0.4 reason=pretrigger tail=0.1@0.0 | flags=double_occl_cap_suspect
